Date,Open,High,Low,Close,Volume
2023-10-17,361.1000,362.7049,353.8900,355.7200,5828349
2023-10-16,356.2100,363.0799,354.7700,360.8200,5128947
2023-10-13,355.6400,358.9300,352.0500,355.6800,6316320
2023-10-12,366.4800,368.8300,359.0500,361.2000,7376086
2023-10-11,372.7750,377.8100,365.3400,365.9300,9151395
2023-10-10,385.5800,388.7000,372.2500,373.3200,7288939
2023-10-09,378.0500,387.1700,377.7550,385.9500,3299802
2023-10-06,368.4300,382.5200,367.7700,381.5100,4778118
2023-10-05,378.0100,378.5999,367.2400,372.5900,5034773
2023-10-04,376.5000,380.2200,373.5800,376.9000,4303658
2023-10-03,377.1100,394.9000,372.8492,376.7500,8878134
2023-10-02,377.4800,384.8080,376.8000,380.3300,3102101
2023-09-29,380.0000,382.5800,375.3500,377.6000,4205298
2023-09-28,375.6000,378.9600,371.1000,376.3600,4369906
2023-09-27,382.4000,384.2230,376.2500,377.5900,3843521
2023-09-26,382.8800,384.5600,377.3550,379.2500,4089392
2023-09-25,382.9000,386.6200,380.8100,384.8000,3757278
2023-09-22,385.0000,386.8800,378.3600,379.8100,3699796
2023-09-21,386.5000,395.8999,383.4200,384.1500,5556388